AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75,use_classification_layer,use_laplacianshot,embeddings_type,leverage_classification,rectify_prototypes,time_elapsed,time_from,time_to
42.82151600136643,68.69578571251716,46.35018202190661,49.43582356411183,78.89728353983054,53.43444949598063,22.978593313130208,38.09129223057697,25.097379599684583,1.0,1.0,embeddings,1.0,0.0,102.0,2021-07-28 18:09:57,2021-07-28 18:11:40
42.7247767125193,68.20978808883686,46.17894450922619,49.52897642921105,78.7760980146024,53.41142297747074,22.31217756244405,36.51085831154025,24.481509104492556,1.0,1.0,embeddings,1.0,1.0,114.0,2021-07-28 18:02:40,2021-07-28 18:04:34
42.6617194617766,68.40997439473767,45.91387330980417,49.43629627003399,78.8508896932903,53.192184610821194,22.33798903700437,37.08722849907983,24.078939406753047,1.0,1.0,,,,,,
42.13666524002328,67.69351598841465,45.5912933329211,48.987853410475694,78.46080814288835,52.96790502743496,21.583100728666007,35.391639524993494,23.461458249379533,1.0,1.0,probabilities,1.0,0.0,104.0,2021-07-28 18:11:40,2021-07-28 18:13:24
40.55343675706323,63.6683180480989,44.25299752843769,48.909951714554296,77.2100418181171,53.157479690091506,15.483891884590037,23.043146738044292,17.539551043476216,1.0,1.0,probabilities,1.0,1.0,105.0,2021-07-28 18:04:34,2021-07-28 18:06:19
40.27446036423792,64.46807809017282,43.3938954745449,48.26930101714007,77.04932412180136,52.11370586274147,16.289938405531455,26.72433999528722,17.23446430995521,1.0,1.0,embeddings,0.0,0.0,108.0,2021-07-28 18:13:24,2021-07-28 18:15:13
39.97557179850728,62.0503342694483,43.8035572925536,48.38372504274726,75.50742941074037,52.67394587139928,14.751112065787336,21.679048845572122,17.192391556016535,1.0,1.0,probabilities,0.0,1.0,103.0,2021-07-28 18:08:14,2021-07-28 18:09:57
34.710368160793074,55.1706018658733,37.71891678991731,42.05148599246781,67.08728024194336,45.54737826310702,12.6870146657689,19.42056673766306,14.23353237034821,1.0,1.0,probabilities,0.0,0.0,109.0,2021-07-28 18:15:13,2021-07-28 18:17:02
32.06289436568909,52.19263321102634,34.206938945201536,39.45230728546743,64.20107647090276,42.12312345662641,9.894655606354075,16.167303431397038,10.458385410926905,1.0,1.0,embeddings,0.0,1.0,114.0,2021-07-28 18:06:19,2021-07-28 18:08:14
